<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140812,000000,13.1390000,13.1390000,13.1390000,13.1390000,0
20140813,000000,13.1105000,13.1105000,13.1105000,13.1105000,0
20140814,000000,13.0915000,13.0915000,13.0915000,13.0915000,0
20140815,000000,13.1354000,13.1354000,13.1354000,13.1354000,0
20140818,000000,13.1354000,13.1354000,13.0733000,13.0733000,0
20140819,000000,12.9525000,12.9525000,12.9525000,12.9525000,0
20140820,000000,13.2230000,13.2230000,13.2230000,13.2230000,0
20140824,000000,13.3654000,13.3654000,13.3654000,13.3654000,0
20140826,000000,13.3600000,13.6594000,13.3554000,13.6594000,0
20140827,000000,13.8905000,13.8905000,13.8905000,13.8905000,0
20140828,000000,13.3000000,13.4378000,13.3000000,13.4378000,0
20140829,000000,13.6057000,13.6057000,13.6057000,13.6057000,0
20140901,000000,13.1141000,13.1141000,13.1141000,13.1141000,0
20140902,000000,13.0055000,13.0055000,13.0055000,13.0055000,0
20140903,000000,12.5310000,12.5310000,12.5310000,12.5310000,0
20140905,000000,12.8220000,12.8220000,12.8220000,12.8220000,0
20140908,000000,12.8220000,12.8220000,12.8220000,12.8220000,0
20140910,000000,12.9517000,12.9517000,12.9517000,12.9517000,0
20140911,000000,12.9750000,12.9750000,12.9750000,12.9750000,0
20140914,000000,12.9765000,12.9765000,12.9765000,12.9765000,0
20140915,000000,12.9750000,12.9750000,12.9750000,12.9750000,0
20140924,000000,12.9405000,12.9405000,12.9405000,12.9405000,0
20140925,000000,12.9505000,12.9505000,12.9505000,12.9505000,0
20140926,000000,12.9087000,12.9087000,12.9087000,12.9087000,0
20140929,000000,12.9087000,12.9087000,12.9087000,12.9087000,0
20141002,000000,12.9500000,12.9500000,12.9500000,12.9500000,0
20141006,000000,12.9490000,12.9490000,12.9490000,12.9490000,0
20141007,000000,12.9660000,12.9660000,12.9660000,12.9660000,0
20141008,000000,12.9500000,12.9500000,12.9500000,12.9500000,0
20141009,000000,12.9305000,12.9305000,12.9305000,12.9305000,0
20141013,000000,12.9500000,12.9528000,12.9500000,12.9528000,0
20141014,000000,12.9514000,12.9514000,12.9514000,12.9514000,0
20141020,000000,12.9505000,12.9510000,12.9505000,12.9510000,0
20141027,000000,12.9500000,12.9500000,12.9500000,12.9500000,0
20141029,000000,12.9520000,12.9520000,12.9520000,12.9520000,0
20141030,000000,12.9525000,12.9525000,12.9525000,12.9525000,0
20141031,000000,12.9525000,12.9525000,12.9505000,12.9505000,31
20141103,000000,12.9505000,12.9505000,12.9505000,12.9505000,43
20141104,000000,12.9505000,12.9535000,12.9505000,12.9535000,47
20141105,000000,12.9535000,13.4950000,12.9535000,13.4950000,55
20141106,000000,13.4950000,13.9550000,13.4950000,13.9550000,57
20141107,000000,13.9550000,14.4705000,13.9550000,14.4705000,65
20141108,000000,14.4705000,14.4705000,14.4705000,14.4705000,5
20141110,000000,14.4705000,14.8040000,14.4705000,14.8040000,53
20141111,000000,14.8040000,15.7710000,14.8040000,15.7710000,74
20141112,000000,15.7710000,15.7710000,15.0000000,15.7495000,74
20141113,000000,15.7495000,15.7495000,15.5000000,15.5550000,55
20141114,000000,15.5550000,15.5550000,15.5100000,15.5100000,70
20141115,000000,15.5100000,15.5100000,15.5100000,15.5100000,6
20141116,000000,15.5100000,15.5100000,15.5100000,15.5100000,1
20141117,000000,15.5100000,15.5100000,15.3355000,15.3355000,82
20141118,000000,15.3355000,15.3355000,15.2600000,15.2600000,77
20141119,000000,15.2600000,15.2600000,15.1000000,15.1000000,73
20141120,000000,15.1000000,15.1450000,15.0000000,15.1450000,83
20141121,000000,15.1450000,15.1450000,15.0960000,15.0960000,60
20141122,000000,15.0960000,15.0960000,15.0960000,15.0960000,6
20141124,000000,15.0960000,15.0960000,15.0605000,15.0605000,34
20141125,000000,15.0605000,15.0605000,15.0070000,15.0070000,74
20141126,000000,15.0070000,15.0070000,14.9730000,14.9730000,64
20141127,000000,14.9730000,14.9730000,14.9730000,14.9730000,25
20141128,000000,14.9730000,14.9730000,14.9690000,14.9690000,33
20141129,000000,14.9690000,14.9690000,14.9690000,14.9690000,5
20141130,000000,14.9690000,14.9690000,14.9690000,14.9690000,3
20141201,000000,14.9690000,15.0560000,14.9690000,15.0560000,80
20141202,000000,15.0560000,15.1060000,15.0560000,15.1060000,104
20141203,000000,15.1060000,15.1855000,15.1060000,15.1855000,40
20141204,000000,15.1855000,15.2950000,15.1855000,15.1855000,63
20141205,000000,15.1855000,15.4144000,15.1855000,15.4144000,63
20141206,000000,15.4144000,15.4144000,15.4144000,15.4144000,5
20141207,000000,15.4144000,15.4144000,15.4144000,15.4144000,4
20141208,000000,15.4144000,15.5250000,15.4144000,15.5250000,59
20141209,000000,15.5250000,15.5775000,15.5250000,15.5775000,58
20141210,000000,15.5775000,15.6469000,15.5775000,15.6469000,79
20141211,000000,15.6469000,15.6722000,15.6469000,15.6722000,78
20141212,000000,15.6722000,15.7105000,15.6722000,15.7105000,72
20141213,000000,15.7105000,15.7105000,15.7105000,15.7105000,5
20141215,000000,15.7105000,15.7105000,15.7105000,15.7105000,19
